Variable	p_Enrich	p_Deplete	Inversion	p.Adj
Pollen	0.7734	0.2266	Petfal_16_01	0.883606557377049
Corolla	0.4438	0.5562	Petfal_16_01	0.883606557377049
Bract	0.549	0.451	Petfal_16_01	0.883606557377049
Ovary	0.4114	0.5886	Petfal_14_01	0.883606557377049
Root	0.3168	0.6832	Petfal_14_01	0.883606557377049
Leaf	0.5131	0.4869	Petfal_14_01	0.883606557377049
Style	0.414841484148415	0.585158515851585	Petfal_14_01	0.883606557377049
Stem	0.3993	0.6007	Petfal_14_01	0.883606557377049
Stamen	0.3922	0.6078	Petfal_14_01	0.883606557377049
Ligule	0.3435	0.6565	Petfal_14_01	0.883606557377049
Pollen	0.575	0.425	Petfal_14_01	0.883606557377049
Corolla	0.4471	0.5529	Petfal_14_01	0.883606557377049
Bract	0.4492	0.5508	Petfal_14_01	0.883606557377049
Ovary	0.6025	0.3975	Petfal_11_01	0.883606557377049
Root	0.607	0.393	Petfal_11_01	0.883606557377049
Leaf	0.5292	0.4708	Petfal_11_01	0.883606557377049
Style	0.5943	0.4057	Petfal_11_01	0.883606557377049
Stem	0.5965	0.4035	Petfal_11_01	0.883606557377049
Stamen	0.6752	0.3248	Petfal_11_01	0.883606557377049
Ligule	0.4808	0.5192	Petfal_11_01	0.883606557377049
Pollen	0.6802	0.3198	Petfal_11_01	0.883606557377049
Corolla	0.4748	0.5252	Petfal_11_01	0.883606557377049
Bract	0.4955	0.5045	Petfal_11_01	0.883606557377049
Ovary	0.5358	0.4642	Petfal_10_01	0.883606557377049
Root	0.4417	0.5583	Petfal_10_01	0.883606557377049
Leaf	0.3962	0.6038	Petfal_10_01	0.883606557377049
Style	0.3311	0.6689	Petfal_10_01	0.883606557377049
Stem	0.3812	0.6188	Petfal_10_01	0.883606557377049
Stamen	0.3657	0.6343	Petfal_10_01	0.883606557377049
Ligule	0.3662	0.6338	Petfal_10_01	0.883606557377049
Pollen	0.6953	0.3047	Petfal_10_01	0.883606557377049
Corolla	0.4674	0.5326	Petfal_10_01	0.883606557377049
Bract	0.3183	0.6817	Petfal_10_01	0.883606557377049
Ovary	0.6964	0.3036	Petfal_09_01	0.883606557377049
Root	0.4963	0.5037	Petfal_09_01	0.883606557377049
Leaf	0.6392	0.3608	Petfal_09_01	0.883606557377049
